CONTAINER ID   IMAGE                                                     COMMAND                  CREATED        STATUS                     PORTS                                                                                            NAMES
3575d67aac1f   noesar-evolution:d0373-voice-conversation                 "/opt/noesar/bin/noe…"   13 hours ago   Up 13 hours (healthy)      192.168.178.100:8089->8089/tcp, 192.168.178.100:8443->8443/tcp, 192.168.178.100:8100->8088/tcp   noesar-evolution
5926b19e61e0   noesar-evolution:d0372-voice-window                       "/opt/noesar/bin/noe…"   14 hours ago   Exited (0) 13 hours ago                                                                                                     noesar-evolution-old-d0372
1eadd05e3363   ghcr.io/speaches-ai/speaches:latest-cuda                  "/opt/nvidia/nvidia_…"   27 hours ago   Up 27 hours                8000/tcp                                                                                         noesar-voice-hear
1d5f8ae7a24e   ghcr.io/remsky/kokoro-fastapi-cpu:latest                  "./entrypoint.sh"        28 hours ago   Up 28 hours                                                                                                                 noesar-voice-speak
779dc13e812c   searxng/searxng:latest                                    "/usr/local/searxng/…"   31 hours ago   Up 31 hours                8080/tcp                                                                                         noesar-search
c60d3f1a0e91   lscr.io/linuxserver/sonarr:latest                         "/init"                  35 hours ago   Up 8 hours                                                                                                                  sonarr
efe8f9219d4a   ghcr.io/ggml-org/llama.cpp:server-cuda                    "/app/llama-server -…"   2 days ago     Up 2 days (healthy)        127.0.0.1:8420->8420/tcp                                                                         atom-evolution-model
ea4b31a5f584   lscr.io/linuxserver/radarr:latest                         "/init"                  3 days ago     Up 8 hours                                                                                                                  radarr
9ca8fb35e693   plexinc/pms-docker                                        "/init"                  3 days ago     Up 8 hours (healthy)                                                                                                        Plex-Media-Server
0a247e765f29   atom-evolution:atomd-a0025-authoring                      "/usr/local/bin/atomd"   5 days ago     Exited (0) 2 days ago                                                                                                       atomd
6a45f263bc7d   atom-evolution:atomd-a0024-sigterm                        "/usr/local/bin/atomd"   8 days ago     Exited (0) 5 days ago                                                                                                       atomd-old-phase6-a0025
ab4c6546bdfa   debug-evolution:1.7.0-court-triage                        "python3 /opt/debug-…"   8 days ago     Up 8 days (healthy)                                                                                                         debug-evolution-runner
ff51e0c01dd7   debug-evolution:1.7.0-court-triage                        "python3 /opt/debug-…"   8 days ago     Up 8 days (healthy)        8787/tcp                                                                                         debug-evolution
141fa3ef4722   debug-evolution:1.4.0-remote-targets-ui                   "python3 /opt/debug-…"   8 days ago     Exited (0) 8 days ago                                                                                                       debug-evolution-runner-old-api-targets
c03ecbb4c094   debug-evolution:1.4.0-remote-targets-ui                   "python3 /opt/debug-…"   8 days ago     Exited (0) 8 days ago                                                                                                       debug-evolution-old-api-targets
19e13d2c21f4   debug-evolution:1.1.1-cube-memory                         "python3 /opt/debug-…"   8 days ago     Exited (0) 8 days ago                                                                                                       debug-evolution-pre-sandbox
efee184fde5a   debug-evolution:1.1.0-toolpack-wiring                     "python3 /opt/debug-…"   8 days ago     Exited (0) 8 days ago                                                                                                       debug-evolution-pre-cube-memory
f7c8264c0879   debug-evolution:1.1.0-remote-targets                      "python3 /opt/debug-…"   9 days ago     Exited (0) 9 days ago                                                                                                       debug-evolution.rollback-remote-targets-20260801T172826Z
fab0b37bd9ab   ghcr.io/ggml-org/llama.cpp:server-cuda                    "/app/llama-server -…"   9 days ago     Exited (0) 2 days ago                                                                                                       atom-evolution-model-old-qwen-coder
e09a9d2f46c5   ghcr.io/hotio/qbittorrent:latest                          "/init"                  10 days ago    Up 8 hours                                                                                                                  qbittorrent
264f562d1a64   coden-ultra-full-product:untagged-filename-fix-s254       "/app/entrypoint.sh"     2 weeks ago    Exited (0) 2 weeks ago                                                                                                      coden-ultra-full-product
a21393fae7cb   coden-ultra-full-product:skill-context-secret-gate-s250   "/app/entrypoint.sh"     2 weeks ago    Exited (0) 2 weeks ago                                                                                                      coden-ultra-full-product.rollback-untagged-filename-fix-s254-20260724T113326Z
aa1221880607   coden-ultra-full-product:triple-cue-secret-gate-s250      "/app/entrypoint.sh"     2 weeks ago    Exited (0) 2 weeks ago                                                                                                      coden-ultra-full-product.rollback-triple-cue-secret-gate-s250-20260724T055153Z
4b022fd829bd   noesar-coden-ultra-nllb:v1                                "uvicorn app:app --h…"   2 weeks ago    Exited (0) 2 weeks ago                                                                                                      noesar-coden-ultra-nllb
2bd6b8fa9027   ai-lab:auth-hardening-s247                                "uvicorn main:app --…"   2 weeks ago    Exited (0) 2 weeks ago                                                                                                      ai-lab
6c9e19acebc3   binhex/arch-prowlarr                                      "/usr/bin/dumb-init …"   2 weeks ago    Up 3 days (healthy)                                                                                                         binhex-prowlarr
1844fc9b3cfc   ai-lab:phaseE-s214                                        "uvicorn main:app --…"   3 weeks ago    Exited (0) 3 weeks ago                                                                                                      ai-lab-prev-s214b
ed3ff4e6e74f   stats-hub:v3                                              "uvicorn main:app --…"   3 weeks ago    Exited (0) 2 weeks ago                                                                                                      stats-hub
3abc38757fcb   nous-trainer:v3-s134                                      "bash -c 'pip instal…"   3 weeks ago    Exited (0) 3 weeks ago                                                                                                      schema-service
2625e035f293   0b8d6776ec19                                              "python -m uvicorn a…"   3 weeks ago    Exited (0) 2 weeks ago                                                                                                      coden-ultra-brainlab
aa120b8eb4eb   nous-simulator-engine:v5                                  "python3 -m uvicorn …"   4 weeks ago    Exited (0) 3 weeks ago                                                                                                      nous-simulator-engine
b3c375756cf2   noesar-webui:coden-ultra-bench-s190                       "uvicorn app.main:ap…"   4 weeks ago    Exited (0) 2 weeks ago                                                                                                      noesar-webui
2c8e597187a8   coden-ultra-brainlab:phase4                               "python -m uvicorn a…"   4 weeks ago    Exited (0) 3 weeks ago                                                                                                      coden-ultra-brainlab-phase4-bak
