component	kind	license	evidence	path	notes
android_system_properties-0.1.5	vendored-rust-crate	MIT/Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/android_system_properties-0.1.5	
anyhow-1.0.104	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/anyhow-1.0.104	
argon2-0.5.3	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/argon2-0.5.3	
atomic-waker-1.1.2	vendored-rust-crate	Apache-2.0 OR MIT	LICENSE-APACHE;LICENSE-MIT;LICENSE-THIRD-PARTY	rust/vendor/atomic-waker-1.1.2	
autocfg-1.5.1	vendored-rust-crate	Apache-2.0 OR MIT	LICENSE-APACHE;LICENSE-MIT	rust/vendor/autocfg-1.5.1	
axum-0.8.9	vendored-rust-crate	MIT	LICENSE	rust/vendor/axum-0.8.9	
axum-core-0.5.6	vendored-rust-crate	MIT	LICENSE	rust/vendor/axum-core-0.5.6	
base64-0.22.1	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/base64-0.22.1	
base64ct-1.8.3	vendored-rust-crate	Apache-2.0 OR MIT	LICENSE-APACHE;LICENSE-MIT	rust/vendor/base64ct-1.8.3	
bitflags-2.13.1	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/bitflags-2.13.1	
blake2-0.10.6	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/blake2-0.10.6	
block-buffer-0.10.4	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/block-buffer-0.10.4	
bumpalo-3.20.3	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/bumpalo-3.20.3	
bytes-1.12.1	vendored-rust-crate	MIT	LICENSE	rust/vendor/bytes-1.12.1	
cc-1.3.0	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/cc-1.3.0	
cfg-if-1.0.4	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/cfg-if-1.0.4	
chrono-0.4.45	vendored-rust-crate	MIT OR Apache-2.0	LICENSE.txt	rust/vendor/chrono-0.4.45	
core-foundation-sys-0.8.7	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/core-foundation-sys-0.8.7	
cpufeatures-0.2.17	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/cpufeatures-0.2.17	
crypto-common-0.1.7	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/crypto-common-0.1.7	
digest-0.10.7	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/digest-0.10.7	
errno-0.3.14	vendored-rust-crate	MIT OR Apache-2.0	LICENSE-APACHE;LICENSE-MIT	rust/vendor/errno-0.3.14	
